iata_code,icao_code,name,country,state,city,elevation,lat,lon,timezone
PDO,WIPQ,Pendopo Airport,South-Sumatra,ID,Talang Gudang-Sumatra Island,184,103.88,-3.29,Asia/Jakarta
RGT,WIPR,Japura Airport,Riau-Islands,ID,Rengat-Sumatra Island,62,102.33,-0.35,Asia/Jakarta
PDG,WIPT,Minangkabau Airport,West-Sumatra,ID,Ketaping/Padang-Sumatra Island,18,100.28,-0.79,Asia/Jakarta
MPC,WIPU,Muko Muko Airport,"",ID,Muko Muko-Sumatra Island,24,101.09,-2.54,Asia/Jakarta
KLQ,WIPV,Keluang Airport,"",ID,Keluang-Sumatra Island,76,103.96,-2.62,Asia/Jakarta
TPK,WITA,Teuku Cut Ali Airport,Aceh,ID,Tapak Tuan-Sumatra Island,103,97.18,3.26,Asia/Jakarta
MEQ,WITC,Seunagan Airport,Aceh,ID,Peureumeue-Sumatra Island,10,96.22,4.25,Asia/Jakarta
LSX,WITL,Lhok Sukon Airport,Aceh,ID,Lhok Sukon-Sumatra Island,28,97.26,5.07,Asia/Jakarta
LSW,WITM,Malikus Saleh Airport,Aceh,ID,Lhok Seumawe-Sumatra Island,90,96.95,5.23,Asia/Jakarta
SBG,WITN,Maimun Saleh Airport,Aceh,ID,Sabang-We Island,393,95.34,5.87,Asia/Jakarta
BTJ,WITT,Sultan Iskandarmuda Airport,Aceh,ID,Banda Aceh-Sumatra Island,65,95.42,5.52,Asia/Jakarta
SXT,WMAN,Sungai Tiang Airport,Pahang,MY,Taman Negara,10,102.39,4.33,Asia/Kuala_Lumpur
MEP,WMAU,Mersing Airport,Johor,MY,Mersing,10,103.87,2.38,Asia/Kuala_Lumpur
SWY,WMBA,Sitiawan Airport,Perak,MY,Sitiawan,25,100.70,4.22,Asia/Kuala_Lumpur
TPG,WMBI,Taiping (Tekah) Airport,Perak,MY,Taiping,40,100.72,4.87,Asia/Kuala_Lumpur
TOD,WMBT,Pulau Tioman Airport,Johor,MY,Pulau Tioman,15,104.16,2.82,Asia/Kuala_Lumpur
AOR,WMKA,Sultan Abdul Halim Airport,"",MY,Alor Satar,15,100.40,6.19,Asia/Kuala_Lumpur
BWH,WMKB,Butterworth Airport,"",MY,Butterworth,11,100.39,5.47,Asia/Kuala_Lumpur
KBR,WMKC,Sultan Ismail Petra Airport,Kelantan,MY,Kota Baharu,16,102.29,6.17,Asia/Kuala_Lumpur
KUA,WMKD,Kuantan Airport,Pahang,MY,Kuantan,58,103.21,3.78,Asia/Kuala_Lumpur
KTE,WMKE,Kerteh Airport,Terengganu,MY,Kerteh,18,103.43,4.54,Asia/Kuala_Lumpur
IPH,WMKI,Sultan Azlan Shah Airport,"",MY,Ipoh,130,101.09,4.57,Asia/Kuala_Lumpur
JHB,WMKJ,Senai International Airport,Johor,MY,Senai,135,103.67,1.64,Asia/Kuala_Lumpur
KUL,WMKK,Kuala Lumpur International Airport,"",MY,Kuala Lumpur,69,101.71,2.75,Asia/Kuala_Lumpur
LGK,WMKL,Langkawi International Airport,Kedah,MY,Langkawi,29,99.73,6.33,Asia/Kuala_Lumpur
MKZ,WMKM,Malacca Airport,"",MY,Malacca,35,102.25,2.26,Asia/Kuala_Lumpur
TGG,WMKN,Sultan Mahmud Airport,Terengganu,MY,Kuala Terengganu,21,103.10,5.38,Asia/Kuala_Lumpur
PEN,WMKP,Penang International Airport,"",MY,Penang,11,100.28,5.30,Asia/Kuala_Lumpur
PKG,WMPA,Pulau Pangkor Airport,"",MY,Pangkor Island,19,100.55,4.24,Asia/Kuala_Lumpur
RDN,WMPR,LTS Pulau Redang Airport,"",MY,Redang,36,103.01,5.77,Asia/Kuala_Lumpur
SZB,WMSA,Sultan Abdul Aziz Shah International Airport,"",MY,Subang,90,101.55,3.13,Asia/Kuala_Lumpur
DTR,WN07,Decatur Shores Airport,Washington,US,Decatur,38,-122.81,48.50,America/Los_Angeles
AUT,WPAT,Atauro Airport,Dili,TL,Atauro,29,125.62,-8.21,Asia/Dili
UAI,WPDB,Suai Airport,Cova-Lima,TL,Suai,96,125.29,-9.30,Asia/Dili
DIL,WPDL,Presidente Nicolau Lobato International Airport,Dili,TL,Dili,154,125.53,-8.55,Asia/Dili
BCH,WPEC,Cakung Airport,Baucau,TL,Baucau,1771,126.40,-8.49,Asia/Dili
MPT,WPMN,Maliana Airport,Bobonaro,TL,Maliana,0,125.21,-8.97,Asia/Dili
