iata_code,icao_code,name,country,state,city,elevation,lat,lon,timezone
ICY,19AK,Icy Bay Airport,Alaska,US,Icy Bay,50,-141.66,59.97,America/Anchorage
HGZ,2AK6,Hog River Airport,Alaska,US,Hogatza,534,-155.67,66.22,America/Anchorage
BYW,38WA,Blakely Island Airport,Washington,US,Blakely Island,66,-122.83,48.58,America/Los_Angeles
BDF,3IS8,Rinkenberger Restricted Landing Area,Illinois,US,Bradford,808,-89.62,41.23,America/Chicago
BCS,65LA,Southern Seaplane Airport,Louisiana,US,Belle Chasse,0,-90.02,29.87,America/Chicago
BWL,6OK6,Earl Henry Airport,Oklahoma,US,Blackwell,1054,-97.32,36.80,America/Chicago
DUF,7NC2,Pine Island Airport,North Carolina,US,Corolla,16,-75.79,36.25,America/New_York
FOB,82CL,Fort Bragg Airport,California,US,Fort Bragg,71,-123.80,39.47,America/Los_Angeles
ALX,ADDE,Thomas C Russell Field,Alabama,US,Alexander City,686,-85.96,32.91,America/Chicago
AFT,AGAF,Afutara Aerodrome,Malaita,SB,Bila,23,160.95,-9.19,Pacific/Guadalcanal
RNA,AGAR,Ulawa Airport,"",SB,Arona,40,161.98,-9.86,Pacific/Guadalcanal
ATD,AGAT,Uru Harbour Airport,"",SB,Atoifi,0,161.01,-8.87,Pacific/Guadalcanal
VEV,AGBA,Barakoma Airport,"",SB,Barakoma,0,156.71,-7.91,Pacific/Guadalcanal
BPF,AGBT,Batuna Aerodrome,Western Province,SB,Batuna Mission Station,24,158.12,-8.56,Pacific/Guadalcanal
GEF,AGEV,Geva Airport,"",SB,Liangia,0,156.60,-7.58,Pacific/Guadalcanal
AKS,AGGA,Auki Airport,"",SB,Auki,5,160.68,-8.70,Pacific/Guadalcanal
BNY,AGGB,Bellona/Anua Airport,"",SB,Anua,60,159.80,-11.30,Pacific/Guadalcanal
CHY,AGGC,Choiseul Bay Airport,Choiseul,SB,"",0,156.40,-6.71,Pacific/Guadalcanal
BAS,AGGE,Ballalae Airport,"",SB,Ballalae,5,155.89,-6.99,Pacific/Guadalcanal
FRE,AGGF,Fera/Maringe Airport,Isabel,SB,Fera Island,0,159.58,-8.11,Pacific/Guadalcanal
HIR,AGGH,Honiara International Airport,Guadalcanal,SB,Honiara,28,160.05,-9.43,Pacific/Guadalcanal
MBU,AGGI,Babanakira Airport,Guadalcanal,SB,Mbambanakira,0,159.84,-9.75,Pacific/Guadalcanal
AVU,AGGJ,Avu Avu Airport,Guadalcanal,SB,"",25,160.41,-9.87,Pacific/Guadalcanal
IRA,AGGK,Ngorangora Airport,"",SB,Kirakira,0,161.90,-10.45,Pacific/Guadalcanal
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport,Temotu,SB,Santa Cruz/Graciosa Bay/Luova,18,165.79,-10.72,Pacific/Guadalcanal
MUA,AGGM,Munda Airport,"",SB,"",10,157.26,-8.33,Pacific/Guadalcanal
GZO,AGGN,Nusatupe Airport,"",SB,Gizo,13,156.86,-8.10,Pacific/Guadalcanal
MNY,AGGO,Mono Airport,"",SB,Stirling Island,0,155.57,-7.42,Pacific/Guadalcanal
PRS,AGGP,Parasi Airport,"",SB,Parasi,0,161.43,-9.64,Pacific/Guadalcanal
RNL,AGGR,Rennell/Tingoa Airport,Rennell and Bellona,SB,Rennell Island,0,160.06,-11.53,Pacific/Guadalcanal
EGM,AGGS,Sege Airport,"",SB,Sege,0,157.88,-8.58,Pacific/Guadalcanal
NNB,AGGT,Santa Ana Airport,"",SB,Santa Ana Island,3,162.45,-10.85,Pacific/Guadalcanal
RUS,AGGU,Marau Airport,"",SB,Marau,0,160.82,-9.86,Pacific/Guadalcanal
VAO,AGGV,Suavanao Airport,"",SB,Suavanao,0,158.73,-7.59,Pacific/Guadalcanal
XYA,AGGY,Yandina Airport,"",SB,Yandina,60,159.22,-9.09,Pacific/Guadalcanal
KGE,AGKG,Kagau Island Airport,"",SB,Kagau Island,0,157.58,-7.33,Pacific/Guadalcanal
KWS,AGKW,Kwailabesi Airport,"",SB,Kwailabesi,26,160.78,-8.36,Pacific/Guadalcanal
GTA,AGOK,Gatokae Airport,"",SB,Gatokae,70,158.20,-8.74,Pacific/Guadalcanal
RIN,AGRC,Ringi Cove Airport,"",SB,Ringi Cove,0,157.14,-8.13,Pacific/Guadalcanal
RBV,AGRM,Ramata Airport,"",SB,Ramata,0,157.64,-8.17,Pacific/Guadalcanal
CEX,AK13,Chena Hot Springs Airport,Alaska,US,Chena Hot Springs,1195,-146.05,65.05,America/Anchorage
HED,AK33,Herendeen Bay Airport,Alaska,US,Herendeen Bay,20,-160.90,55.80,America/Anchorage
TWE,AK49,Taylor Airport,Alaska,US,Taylor,440,-164.80,65.68,America/Nome
CDL,AK75,Candle 2 Airport,Alaska,US,Candle,15,-161.93,65.91,America/Anchorage
BSZ,AK96,Bartletts Airport,Alaska,US,Egegik,50,-157.35,58.22,America/Anchorage
BSW,AK97,Boswell Bay Airport,Alaska,US,Boswell Bay,230,-146.15,60.42,America/Anchorage
INU,ANYN,Nauru International Airport,Yaren,NR,Yaren District,22,166.92,-0.55,Pacific/Nauru
ATP,AYAI,Aitape Airport,Sandaun,PG,Aitape,10,142.35,-3.14,Pacific/Port_Moresby
AMU,AYAM,Amanab Airport,Sandaun,PG,Amanab,1307,141.21,-3.59,Pacific/Port_Moresby
ADC,AYAN,Andakombe Airport,Gulf,PG,Andekombe,3600,145.74,-7.14,Pacific/Port_Moresby
AIE,AYAO,Aiome Airport,Madang,PG,Aiome,350,144.73,-5.15,Pacific/Port_Moresby
KPM,AYAQ,Kompiam Airport,Enga,PG,"",5100,143.92,-5.38,Pacific/Port_Moresby
AUJ,AYAT,Ambunti Airport,East Sepik,PG,Ambunti,50,142.82,-4.22,Pacific/Port_Moresby
AWB,AYAW,Awaba Airport,Western Province,PG,Awaba,32,142.75,-8.01,Pacific/Port_Moresby
AYU,AYAY,Aiyura Airport,Eastern Highlands,PG,Aiyura Valley,5355,145.90,-6.34,Pacific/Port_Moresby
VMU,AYBA,Baimuru Airport,Gulf,PG,Baimuru,27,144.82,-7.50,Pacific/Port_Moresby
BDZ,AYBG,Baindoung Airport,Morobe,PG,"",4400,146.94,-6.35,Pacific/Port_Moresby
BUA,AYBK,Buka Airport,Bougainville,PG,Buka Island,11,154.67,-5.42,Pacific/Port_Moresby
OPU,AYBM,Balimo Airport,Western Province,PG,Balimo,51,142.93,-8.05,Pacific/Port_Moresby
BUL,AYBU,Bulolo Airport,Morobe,PG,Bulolo,2240,146.65,-7.22,Pacific/Port_Moresby
CMU,AYCH,Chimbu Airport,Chimbu,PG,Kundiawa,4974,144.97,-6.02,Pacific/Port_Moresby
DER,AYDE,Derim Airport,Morobe,PG,Derim,4850,147.11,-6.14,Pacific/Port_Moresby
DAU,AYDU,Daru Airport,Western Province,PG,Daru,20,143.21,-9.09,Pacific/Port_Moresby
XYR,AYED,Edwaki Airport,Sandaun,PG,Yellow River Mission,190,141.79,-3.88,Pacific/Port_Moresby
FNE,AYFA,Fane Airport,Central Province,PG,Fane Mission,4500,147.09,-8.55,Pacific/Port_Moresby
FIN,AYFI,Finschhafen Airport,Morobe,PG,Buki,60,147.85,-6.62,Pacific/Port_Moresby
FAQ,AYFR,Frieda River Airport,East Sepik,PG,Frieda River,217,141.96,-4.61,Pacific/Port_Moresby
GKA,AYGA,Goroka Airport,Eastern Highlands,PG,Goronka,5282,145.39,-6.08,Pacific/Port_Moresby
GRL,AYGG,Garasa Airport,Morobe,PG,Au,2539,147.21,-7.98,Pacific/Port_Moresby
GAR,AYGI,Garaina Airport,Morobe,PG,Garaina,2497,147.14,-7.88,Pacific/Port_Moresby
GUR,AYGN,Gurney Airport,Milne Bay,PG,Gurney,88,150.33,-10.31,Pacific/Port_Moresby
GAP,AYGP,Gusap Airport,Morobe,PG,Gusap,1504,145.96,-6.05,Pacific/Port_Moresby
PNP,AYGR,Girua Airport,Northern Province,PG,Popondetta,311,148.31,-8.80,Pacific/Port_Moresby
GMI,AYGT,Gasmata Island Airport,West New Britain,PG,Gasmata Island,23,150.33,-6.27,Pacific/Port_Moresby
GVI,AYGV,Green River Airport,Sandaun,PG,Green River,281,141.17,-3.90,Pacific/Port_Moresby
HKN,AYHK,Kimbe Airport,West New Britain,PG,Hoskins,66,150.40,-5.46,Pacific/Port_Moresby
KIE,AYIQ,Aropa Airport,Bougainville Island,PG,Kieta,10,155.73,-6.31,Pacific/Bougainville
LSA,AYKA,Losuia Airport,Milne Bay,PG,Losuia,27,151.08,-8.51,Pacific/Port_Moresby
KBM,AYKB,Kabwum,Morobe,PG,"",4450,147.19,-6.16,Pacific/Port_Moresby
KDR,AYKC,Kandrian Airport,West New Britain,PG,Kandrian,280,149.56,-6.27,Pacific/Port_Moresby
UNG,AYKI,Kiunga Airport,Western Province,PG,Kiunga,88,141.28,-6.13,Pacific/Port_Moresby
KRI,AYKK,Kikori Airport,Gulf,PG,Kikori,50,144.25,-7.42,Pacific/Port_Moresby
KMA,AYKM,Kerema Airport,Gulf,PG,Kerema,10,145.77,-7.96,Pacific/Port_Moresby
KKD,AYKO,Kokoda Airport,Northern Province,PG,Kokoda,1240,147.73,-8.88,Pacific/Port_Moresby
KZF,AYKT,Kaintiba Airport,Gulf,PG,Kaintiba,2050,146.03,-7.50,Pacific/Port_Moresby
KUQ,AYKU,Kuri Airport,Gulf,PG,Kuri,35,143.28,-7.14,Pacific/Port_Moresby
KVG,AYKV,Kavieng Airport,New Ireland,PG,Kavieng,7,150.81,-2.58,Pacific/Port_Moresby
KWO,AYKW,Kawito Airport,Western Province,PG,Kawito,72,142.82,-7.98,Pacific/Port_Moresby
LNV,AYKY,Londolovit Airport,New Ireland,PG,Londolovit,167,152.63,-3.04,Pacific/Port_Moresby
LMY,AYLM,Lake Murray Airport,Western Province,PG,Lake Murray,52,141.49,-7.01,Pacific/Port_Moresby
LMI,AYLU,Lumi Airport,Sandaun,PG,Lumi,1750,142.04,-3.48,Pacific/Port_Moresby
MYX,AYMC,Menyamya Airport,Morobe,PG,Menyamya,3880,146.02,-7.21,Pacific/Port_Moresby
MAG,AYMD,Madang Airport,Madang,PG,Madang,20,145.79,-5.21,Pacific/Port_Moresby
HGU,AYMH,Mount Hagen Kagamuga Airport,Western Highlands,PG,Mount Hagen,5388,144.30,-5.83,Pacific/Port_Moresby
MXK,AYMI,Mindik Airport,Morobe,PG,Mindik,4200,147.44,-6.47,Pacific/Port_Moresby
GUV,AYML,Mougulu Airport,Western Province,PG,Mougulu,825,142.42,-6.28,Pacific/Port_Moresby
MDU,AYMN,Mendi Airport,Southern Highlands,PG,"",5680,143.66,-6.15,Pacific/Port_Moresby
MAS,AYMO,Momote Airport,Manus,PG,"",12,147.42,-2.06,Pacific/Port_Moresby
MXH,AYMR,Moro Airport,Southern Highlands,PG,Moro,2740,143.24,-6.36,Pacific/Port_Moresby
MIS,AYMS,Misima Island Airport,Milne Bay,PG,Misima Island,26,152.84,-10.69,Pacific/Port_Moresby
GBF,AYNE,Negarbo(Negabo) Airport,Chimbu,PG,Negarbo,4500,144.70,-6.57,Pacific/Port_Moresby
MFO,AYNG,Manguna Airport,East New Britain,PG,Manguna,187,151.79,-5.58,Pacific/Port_Moresby
UKU,AYNU,Nuku Airport,Sandaun,PG,Nuku,870,142.48,-3.68,Pacific/Port_Moresby
LAE,AYNZ,Lae Nadzab Airport,Morobe,PG,Nadzab,239,146.73,-6.57,Pacific/Port_Moresby
OGE,AYOG,Ogeranang Airport,Morobe,PG,"",5850,147.36,-6.47,Pacific/Port_Moresby
OSE,AYOM,Omora Airport,Morobe,PG,Omora,2540,147.08,-7.83,Pacific/Port_Moresby
PDI,AYPD,Pindiu Airport,Morobe,PG,Pindiu,2995,147.52,-6.45,Pacific/Port_Moresby
POM,AYPY,Port Moresby Jacksons International Airport,National Capital,PG,Port Moresby,146,147.22,-9.44,Pacific/Port_Moresby
KRJ,AYQA,Karawari Airstrip,East Sepik,PG,"",70,143.52,-4.60,Pacific/Port_Moresby
RMN,AYRG,Rumginae Airport,Western Province,PG,"",160,141.27,-5.90,Pacific/Port_Moresby
KMR,AYRI,Karimui Airport,Chimbu,PG,Karimui,3640,144.82,-6.49,Pacific/Port_Moresby
SBE,AYSA,Suabi Airport,Western Province,PG,"",465,142.28,-6.10,Pacific/Port_Moresby
NIS,AYSE,Simberi Airport,New Ireland,PG,Simberi Island,10,152.00,-2.66,Pacific/Port_Moresby
SIL,AYSG,Sila Airport,Northern Province,PG,Sila Mission,2230,148.39,-9.07,Pacific/Port_Moresby
SIM,AYSJ,Simbai Airport,Western Highlands,PG,Simbai,5804,144.54,-5.28,Pacific/Port_Moresby
SKC,AYSU,Suki Airport,Western Province,PG,Suki,24,141.72,-8.05,Pacific/Port_Moresby
TIZ,AYTA,Tari Airport,Southern Highlands,PG,Tari,5500,142.95,-5.85,Pacific/Port_Moresby
TBG,AYTB,Tabubil Airport,Western Province,PG,Tabubil,1570,141.23,-5.28,Pacific/Port_Moresby
TFM,AYTE,Telefomin Airport,Western Province,PG,Telefomin,4950,141.64,-5.13,Pacific/Port_Moresby
TPI,AYTI,Tapini Airport,Central Province,PG,Tapini,3100,146.99,-8.36,Pacific/Port_Moresby
TAJ,AYTJ,Tadji Airport,Sandaun,PG,Aitape,33,142.43,-3.20,Pacific/Port_Moresby
RAB,AYTK,Tokua Airport,East New Britain,PG,Tokua,32,152.38,-4.34,Pacific/Port_Moresby
TKW,AYTN,Tekin Airport,Sandaun,PG,Tekin,5785,142.17,-5.24,Pacific/Port_Moresby
TFI,AYTU,Tufi Airport,Northern Province,PG,Tufi,85,149.32,-9.08,Pacific/Port_Moresby
VAI,AYVN,Vanimo Airport,Sandaun,PG,"",10,141.30,-2.70,Pacific/Port_Moresby
WAO,AYWB,Wabo Airport,Gulf,PG,Wabo,132,145.08,-6.99,Pacific/Port_Moresby
WBM,AYWD,Wapenamanda Airport,Enga,PG,"",5889,143.90,-5.64,Pacific/Port_Moresby
AGL,AYWG,Wanigela Airport,Northern Province,PG,"",53,149.16,-9.34,Pacific/Port_Moresby
WWK,AYWK,Wewak International Airport,East Sepik,PG,Wewak,19,143.67,-3.58,Pacific/Port_Moresby
WOA,AYWO,Wonenara Airport,Eastern Highlands,PG,Wonenara,5028,145.89,-6.80,Pacific/Port_Moresby
WSU,AYWS,Wasu Airport,Morobe,PG,Wasu,34,147.20,-5.96,Pacific/Port_Moresby
WTP,AYWT,Woitape Airport,Central Province,PG,Fatima Mission,5200,147.25,-8.55,Pacific/Port_Moresby
WUG,AYWU,Wau Airport,Morobe,PG,Wau,3600,146.72,-7.35,Pacific/Port_Moresby
JEG,BGAA,Aasiaat Airport,Qaasuitsup,GL,Aasiaat,74,-52.78,68.72,America/Godthab
UAK,BGBW,Narsarsuaq Airport,Kujalleq,GL,Narsarsuaq,112,-45.43,61.16,America/Godthab
CNP,BGCO,Neerlerit Inaat Airport,Sermersooq,GL,Neerlerit Inaat,45,-22.65,70.74,America/Scoresbysund
GOH,BGGH,Godthaab / Nuuk Airport,"",GL,Nuuk,283,-51.68,64.19,America/Godthab
JAV,BGJN,Ilulissat Airport,"",GL,Ilulissat,95,-51.06,69.24,America/Godthab
KUS,BGKK,Kulusuk Airport,Sermersooq,GL,Kulusuk,117,-37.12,65.57,America/Godthab
JSU,BGMQ,Maniitsoq Airport,"",GL,Maniitsoq,91,-52.94,65.41,America/Godthab
JFR,BGPT,Paamiut Airport,"",GL,Paamiut,120,-49.67,62.01,America/Godthab
NAQ,BGQQ,Qaanaaq Airport,"",GL,Qaanaaq,51,-69.39,77.49,America/Thule
SFJ,BGSF,Kangerlussuaq Airport,Qeqqata,GL,Kangerlussuaq,165,-50.71,67.01,America/Godthab
JHS,BGSS,Sisimiut Airport,"",GL,Sisimiut,33,-53.73,66.95,America/Godthab
THU,BGTL,Thule Air Base,Qaasuitsup,GL,Thule,251,-68.70,76.53,America/Thule
JUV,BGUK,Upernavik Airport,"",GL,Upernavik,414,-56.13,72.79,America/Godthab
JQA,BGUQ,Qaarsut Airport,"",GL,Uummannaq,289,-52.70,70.73,America/Godthab
AEY,BIAR,Akureyri Airport,Northeast,IS,Akureyri,6,-18.07,65.66,Atlantic/Reykjavik
BIU,BIBD,Bildudalur Airport,Westfjords,IS,Bildudalur,18,-23.55,65.64,Atlantic/Reykjavik
BGJ,BIBF,Borgarfjordur eystri Airport,East,IS,Borgarfjordur eystri,80,-13.81,65.52,Atlantic/Reykjavik
BJD,BIBK,Bakkafjordur Airport,Northeast,IS,Bakkafjordur,14,-14.82,66.02,Atlantic/Reykjavik
BLO,BIBL,Hjaltabakki Airport,Northwest,IS,Blonduos,131,-20.29,65.64,Atlantic/Reykjavik
BQD,BIBR,Budardalur Airport,West,IS,Budardalur,131,-21.80,65.08,Atlantic/Reykjavik
BXV,BIBV,Breiddalsvik Airport,East,IS,Breiddalsvik,8,-14.02,64.79,Atlantic/Reykjavik
DJU,BIDV,Djupivogur Airport,East,IS,Djupivogur,9,-14.28,64.64,Atlantic/Reykjavik
EGS,BIEG,Egilsstadir Airport,East,IS,Egilsstadir,76,-14.40,65.28,Atlantic/Reykjavik
FAS,BIFF,Faskrudsfjordur Airport,East,IS,Faskrudsfjordur,15,-14.06,64.93,Atlantic/Reykjavik
FAG,BIFM,Fagurholsmyri Airport,East,IS,Fagurholsmyri,56,-16.64,63.87,Atlantic/Reykjavik
GUU,BIGF,Grundarfjordur Airport,West,IS,Grundarfjordur,17,-23.22,64.99,Atlantic/Reykjavik
GJR,BIGJ,Gjogur Airport,Westfjords,IS,Gjogur,83,-21.33,66.00,Atlantic/Reykjavik
GRY,BIGR,Grimsey Airport,Northeast,IS,Grimsey,66,-18.02,66.55,Atlantic/Reykjavik
HVK,BIHK,Holmavik Airport,Westfjords,IS,Holmavik,90,-21.70,65.70,Atlantic/Reykjavik
HFN,BIHN,Hornafjordur Airport,East,IS,Hornafjordur,24,-15.23,64.30,Atlantic/Reykjavik
FLI,BIHT,Holt Airport,Westfjords,IS,Flateyri,10,-23.44,66.01,Atlantic/Reykjavik
HZK,BIHU,Husavik Airport,Northeast,IS,Husavik,48,-17.43,65.95,Atlantic/Reykjavik
HVM,BIHV,Krokstadarmelar Airport,Northwest,IS,Hvammstangi,164,-20.85,65.27,Atlantic/Reykjavik
HLO,BIID,Ingjaldssandur Airport,Westfjords,IS,Onundarfjordur,70,-23.70,66.05,Atlantic/Reykjavik
IFJ,BIIS,Isafjordur Airport,Westfjords,IS,Isafjordur,8,-23.14,66.06,Atlantic/Reykjavik
KEF,BIKF,Keflavik International Airport,Southern Peninsula,IS,Reykjavik,171,-22.61,63.99,Atlantic/Reykjavik
OPA,BIKP,Kopasker Airport,Northeast,IS,Kopasker,20,-16.47,66.31,Atlantic/Reykjavik
SAK,BIKR,Saudarkrokur Airport,Northwest,IS,Saudarkrokur,8,-19.57,65.73,Atlantic/Reykjavik
NOR,BINF,Nordfjordur Airport,East,IS,Nordfjordur,13,-13.75,65.13,Atlantic/Reykjavik
OFJ,BIOF,Olafsfjordur Airport,Northeast,IS,Olafsfjordur,32,-18.67,66.08,Atlantic/Reykjavik
PFJ,BIPA,Patreksfjordur Airport,Westfjords,IS,Patreksfjordur,11,-23.97,65.56,Atlantic/Reykjavik
RHA,BIRE,Reykholar Airport,Westfjords,IS,Reykholar,60,-22.21,65.45,Atlantic/Reykjavik
OLI,BIRF,Rif Airport,West,IS,Rif,18,-23.82,64.91,Atlantic/Reykjavik
RFN,BIRG,Raufarhofn Airport,Northeast,IS,Raufarhofn,39,-15.92,66.41,Atlantic/Reykjavik
RKV,BIRK,Reykjavik Airport,Capital Region,IS,Reykjavik,48,-21.94,64.13,Atlantic/Reykjavik
MVA,BIRL,Reykjahlid Airport,Northeast,IS,Myvatn,1030,-16.92,65.66,Atlantic/Reykjavik
SIJ,BISI,Siglufjordur Airport,Northeast,IS,Siglufjordur,10,-18.92,66.13,Atlantic/Reykjavik
SYK,BIST,Stykkisholmur Airport,West,IS,Stykkisholmur,42,-22.79,65.06,Atlantic/Reykjavik
TEY,BITE,Tingeyri Airport,Westfjords,IS,Tingeyri,65,-23.56,65.87,Atlantic/Reykjavik
THO,BITN,Thorshofn Airport,Northeast,IS,Thorshofn,65,-15.34,66.22,Atlantic/Reykjavik
VEY,BIVM,Vestmannaeyjar Airport,South,IS,Vestmannaeyjar,326,-20.28,63.42,Atlantic/Reykjavik
VPN,BIVO,Vopnafjordur Airport,East,IS,Vopnafjordur,16,-14.85,65.72,Atlantic/Reykjavik
PRN,BKPR,Pristina International Airport,Pristina,KS,Prishtina,1789,21.04,42.57,Europe/Belgrade
YZZ,CAD4,Trail Airport,British Columbia,CA,Trail,1427,-117.61,49.06,America/Vancouver
YAA,CAJ4,Anahim Lake Airport,British Columbia,CA,Anahim Lake,3635,-125.30,52.45,America/Vancouver
DGF,CAL3,Douglas Lake Airport,British Columbia,CA,Douglas Lake,2770,-120.17,50.17,America/Vancouver
JHL,CAL4,Fort MacKay/Albian Aerodrome,Alberta,CA,Albian Village,1048,-111.42,57.22,America/Edmonton
DUQ,CAM3,Duncan Airport,British Columbia,CA,Duncan,300,-123.71,48.75,America/Vancouver
YWM,CCA6,Williams Harbour Airport,Newfoundland and Labrador,CA,Williams Harbour,70,-55.78,52.57,America/St_Johns
YFX,CCK4,St. Lewis (Fox Harbour) Airport,Newfoundland and Labrador,CA,St. Lewis,74,-55.67,52.37,America/St_Johns
YHA,CCP4,Port Hope Simpson Airport,Newfoundland and Labrador,CA,Port Hope Simpson,347,-56.29,52.53,America/St_Johns
YRG,CCZ2,Rigolet Airport,Newfoundland and Labrador,CA,Rigolet,180,-58.46,54.18,America/Halifax
DVK,CDK2,Diavik Airport,Northwest Territories,CA,Diavik,1413,-110.29,64.51,America/Yellowknife
YCK,CEB3,Colville Lake Airport,Northwest Territories,CA,Colville Lake,850,-126.08,67.03,America/Yellowknife
YLE,CEM3,Whati Airport,Northwest Territories,CA,Whati,882,-117.25,63.13,America/Edmonton
NML,CER4,Fort McMurray / Mildred Lake Airport,Alberta,CA,Fort McMurray,1046,-111.57,57.06,America/Edmonton
ZSP,CEW3,St. Paul Airport,Alberta,CA,St. Paul,2147,-111.38,53.99,America/Edmonton
DAS,CFF4,Great Bear Lake Airport,Northwest Territories,CA,Great Bear Lake,562,-119.71,66.70,America/Yellowknife
YFI,CFG6,Fort Mackay / Firebag,Alberta,CA,Suncor Energy Site,1762,-110.98,57.28,America/Edmonton
SUR,CJV7,Summer Beaver Airport,Ontario,CA,Summer Beaver,832,-88.54,52.71,America/Toronto
YAX,CKB6,Wapekeka Airport,Ontario,CA,Angling Lake,712,-89.58,53.85,America/Winnipeg
WNN,CKL3,Wunnumin Lake Airport,Ontario,CA,Wunnumin Lake,819,-89.29,52.89,America/Winnipeg
YNO,CKQ3,North Spirit Lake Airport,Ontario,CA,North Spirit Lake,1082,-92.97,52.49,America/Winnipeg
XBE,CNE3,Bearskin Lake Airport,Ontario,CA,Bearskin Lake,800,-91.03,53.97,America/Winnipeg
KIF,CNM5,Kingfisher Lake Airport,Ontario,CA,Kingfisher Lake,866,-89.86,53.01,America/Toronto
YOG,CNT3,Ogoki Post Airport,Ontario,CA,Ogoki Post,594,-85.90,51.66,America/Toronto
YEB,CPF2,Bar River Airport,Ontario,CA,Bar River,591,-84.09,46.42,America/Toronto
YHP,CPV7,Poplar Hill Airport,Ontario,CA,Poplar Hill,1095,-94.26,52.11,America/Winnipeg
YNX,CSK6,Snap Lake Airport,Northwest Territories,CA,Snap Lake,1557,-110.91,63.59,America/Yellowknife
YKU,CSU2,Chisasibi Airport,Quebec,CA,Chisasibi,43,-78.92,53.81,America/Toronto
ZTB,CTB6,Tete-a-la-Baleine Airport,Quebec,CA,Tete-a-la-Baleine,107,-59.38,50.67,America/Blanc-Sablon
YAU,CTP9,Donaldson Airport,Quebec,CA,Kattiniq,1902,-73.32,61.66,America/Toronto
ZLT,CTU5,La Tabatiere Airport,Quebec,CA,La Tabatiere,102,-58.98,50.83,America/Blanc-Sablon
YAC,CYAC,Cat Lake Airport,Ontario,CA,Cat Lake,1344,-91.82,51.73,America/Winnipeg
YAR,CYAD,La Grande-3 Airport,Quebec,CA,La Grande-3,775,-76.20,53.57,America/Toronto
YAG,CYAG,Fort Frances Municipal Airport,Ontario,CA,Fort Frances,1125,-93.44,48.65,America/Winnipeg
YAH,CYAH,La Grande-4 Airport,Quebec,CA,La Grande-4,1005,-73.68,53.75,America/Toronto
YAL,CYAL,Alert Bay Airport,British Columbia,CA,Alert Bay,240,-126.92,50.58,America/Vancouver
YAM,CYAM,Sault Ste Marie Airport,Ontario,CA,Sault Ste Marie,630,-84.51,46.49,America/Toronto
XKS,CYAQ,Kasabonika Airport,Ontario,CA,Kasabonika,672,-88.64,53.52,America/Toronto
YKG,CYAS,Kangirsuk Airport,Quebec,CA,Kangirsuk,403,-70.00,60.03,America/Toronto
YAT,CYAT,Attawapiskat Airport,Ontario,CA,Attawapiskat,31,-82.43,52.93,America/Toronto
YAW,CYAW,Shearwater Airport,Nova Scotia,CA,Halifax,144,-63.50,44.64,America/Halifax
YAY,CYAY,St. Anthony Airport,Newfoundland and Labrador,CA,St. Anthony,108,-56.08,51.39,America/St_Johns
YAZ,CYAZ,Tofino / Long Beach Airport,British Columbia,CA,Tofino,80,-125.78,49.08,America/Vancouver
YBA,CYBA,Banff Airport,Alberta,CA,Banff,4583,-115.54,51.21,America/Edmonton
YBB,CYBB,Kugaaruk Airport,Nunavut,CA,Kugaaruk,56,-89.81,68.53,America/Edmonton
YBC,CYBC,Baie Comeau Airport,Quebec,CA,Baie-Comeau,71,-68.20,49.13,America/Toronto
QBC,CYBD,Bella Coola Airport,British Columbia,CA,Bella Coola,117,-126.60,52.39,America/Vancouver
YBE,CYBE,Uranium City Airport,Saskatchewan,CA,Uranium City,1044,-108.48,59.56,America/Regina
YBY,CYBF,Bonnyville Airport,Alberta,CA,Bonnyville,1836,-110.74,54.30,America/Edmonton
YBG,CYBG,CFB Bagotville,Quebec,CA,Bagotville,522,-71.00,48.33,America/Toronto
YBK,CYBK,Baker Lake Airport,Nunavut,CA,Baker Lake,59,-96.08,64.30,America/Winnipeg
YBL,CYBL,Campbell River Airport,British Columbia,CA,Campbell River,346,-125.27,49.95,America/Vancouver
XTL,CYBQ,Tadoule Lake Airport,Manitoba,CA,Tadoule Lake,923,-98.51,58.71,America/Winnipeg
YBR,CYBR,Brandon Municipal Airport,Manitoba,CA,Brandon,1343,-99.95,49.91,America/Winnipeg
YBT,CYBT,Brochet Airport,Manitoba,CA,Brochet,1136,-101.68,57.89,America/Winnipeg
YBV,CYBV,Berens River Airport,Manitoba,CA,Berens River,728,-97.02,52.36,America/Winnipeg
YBX,CYBX,Lourdes de Blanc Sablon Airport,Quebec,CA,Lourdes-De-Blanc-Sablon,121,-57.19,51.44,America/Blanc-Sablon
YRF,CYCA,Cartwright Airport,Newfoundland and Labrador,CA,Cartwright,40,-57.04,53.68,America/Halifax
YCB,CYCB,Cambridge Bay Airport,Nunavut,CA,Cambridge Bay,90,-105.14,69.11,America/Edmonton
YCC,CYCC,Cornwall Regional Airport,Quebec,CA,Cornwall,175,-74.56,45.09,America/Toronto
YCD,CYCD,Nanaimo Airport,British Columbia,CA,Nanaimo,93,-123.87,49.05,America/Vancouver
YCE,CYCE,James T. Field Memorial Aerodrome,Ontario,CA,Centralia,824,-81.51,43.29,America/Toronto
YCG,CYCG,Castlegar/West Kootenay Regional Airport,British Columbia,CA,Castlegar,1624,-117.63,49.30,America/Vancouver
YCH,CYCH,Miramichi Airport,New Brunswick,CA,Miramichi,108,-65.45,47.01,America/Halifax
